,index,price,color,likes,brand,Percentage discount,Rate,Fit,in sale,category,sex,color_encoded,brand_encoded,fabric types,Fit_encoded,category_encoded,sex_encoded,fabric types_encoded
0,6,158.6,brown,910.0,nike,45,0.0,oversized fit,1,hoodies & sweatshirts,women,3,16,fleece,12,1,1,4
1,27,196.8,black,216.0,under armour,29,0.0,regular fit,1,hoodies & sweatshirts,women,1,25,fabric,14,1,1,13
2,29,238.79,white,669.0,nike,29,0.0,relaxed fit,1,hoodies & sweatshirts,women,17,16,fabric,17,1,1,13
3,35,272.9,stone,887.0,nike,19,0.0,relaxed fit,1,hoodies & sweatshirts,women,16,16,fabric,17,1,1,13
4,36,314.89,black,640.0,nike,24,0.0,regular fit,1,hoodies & sweatshirts,women,1,16,fabric,14,1,1,13
5,37,314.89,stone,823.0,nike,24,0.0,regular fit,1,hoodies & sweatshirts,women,16,16,fabric,14,1,1,13
6,38,202.05,brown,693.0,nike,29,0.0,regular fit,1,hoodies & sweatshirts,women,3,16,fleece,14,1,1,4
7,39,257.16,stone,546.0,nike,29,0.0,relaxed fit,1,hoodies & sweatshirts,women,16,16,fabric,17,1,1,13
8,46,89.22,black,2000.0,collusion,19,4.7,unisex style,1,hoodies & sweatshirts,women,1,8,fabric,30,1,1,13
9,53,230.92,black,1000.0,adidas originals,20,4.8,regular fit,1,hoodies & sweatshirts,women,1,2,fleece,14,1,1,4
10,62,201.84,brown,2000.0,nike,30,4.3,relaxed fit,1,hoodies & sweatshirts,women,3,16,fabric,17,1,1,13
11,64,330.63,black,1000.0,the north face,25,0.0,oversized fit,1,hoodies & sweatshirts,women,1,22,fabric,12,1,1,13
12,65,244.04,navy,1000.0,the north face,19,0.0,regular fit,1,hoodies & sweatshirts,women,11,22,fabric,14,1,1,13
13,72,238.79,white,615.0,adidas originals,30,0.0,relaxed fit,1,hoodies & sweatshirts,women,17,2,fabric,17,1,1,13
14,85,251.91,black,2000.0,adidas originals,20,3.5,relaxed fit,1,hoodies & sweatshirts,women,1,2,fabric,17,1,1,13
15,87,188.93,grey,965.0,adidas,19,4.0,regular fit,1,hoodies & sweatshirts,women,7,1,fabric,14,1,1,2
16,88,209.92,green,1000.0,adidas originals,20,0.0,relaxed fit,1,hoodies & sweatshirts,women,6,2,fabric,17,1,1,13
17,89,272.9,pink,718.0,the north face,29,0.0,regular fit,1,hoodies & sweatshirts,women,13,22,fabric,14,1,1,13
18,94,296.52,green,617.0,adidas originals,24,0.0,regular fit,1,hoodies & sweatshirts,women,6,2,fabric,14,1,1,13
19,95,115.46,black,1000.0,asos design,18,4.0,regular fit,1,hoodies & sweatshirts,women,1,5,fabric,14,1,1,13
20,96,238.58,black,1000.0,nike,30,4.2,regular fit,1,hoodies & sweatshirts,women,1,16,fabric,14,1,1,2
21,97,83.97,beige,277.0,puma,64,4.7,relaxed fit,1,hoodies & sweatshirts,women,0,19,fabric,17,1,1,2
22,99,236.16,black,665.0,adidas originals,25,5.0,regular fit,1,hoodies & sweatshirts,women,1,2,fabric,14,1,1,13
23,104,176.34,grey,1000.0,puma,29,4.8,boxy fit,1,hoodies & sweatshirts,women,7,19,fabric,2,1,1,13
24,109,238.79,black,230.0,adidas originals,30,0.0,regular fit,1,hoodies & sweatshirts,women,1,2,fabric,14,1,1,13
25,115,125.95,beige,1000.0,monki,25,0.0,regular fit,1,hoodies & sweatshirts,women,0,12,fabric,14,1,1,13
26,116,230.92,pink,1000.0,nike,19,5.0,regular fit,1,hoodies & sweatshirts,women,13,16,fabric,14,1,1,13
27,126,182.63,grey,665.0,the north face,40,0.0,boxy fit,1,hoodies & sweatshirts,women,7,22,fabric,2,1,1,13
28,136,220.42,brown,387.0,adidas originals,30,5.0,regular fit,1,hoodies & sweatshirts,women,3,2,fabric,14,1,1,13
29,138,238.79,grey,2000.0,nike,29,4.1,oversized fit,1,hoodies & sweatshirts,women,7,16,fabric,12,1,1,13
30,139,223.04,black,619.0,nike,34,0.0,unisex style,1,hoodies & sweatshirts,women,1,16,fabric,30,1,1,13
31,142,131.2,pink,423.0,adidas,50,4.6,relaxed fit,1,hoodies & sweatshirts,women,13,1,fabric,17,1,1,2
32,143,91.84,white,398.0,puma,50,3.5,relaxed fit,1,hoodies & sweatshirts,women,17,19,fabric,17,1,1,13
33,149,165.32,black,926.0,puma,14,0.0,true to size,1,hoodies & sweatshirts,women,1,19,jersey,28,1,1,5
34,151,167.94,grey,2000.0,asos 4505,19,4.5,oversized fit,1,hoodies & sweatshirts,women,7,3,fabric,12,1,1,13
35,160,73.47,grey,213.0,puma,60,4.3,regular fit,1,hoodies & sweatshirts,women,7,19,fabric,14,1,1,13
36,164,136.45,white,426.0,miss selfridge,18,0.0,regular fit,1,hoodies & sweatshirts,women,17,11,fabric,14,1,1,13
37,167,115.46,pink,829.0,monki,18,0.0,relaxed fit,1,hoodies & sweatshirts,women,13,12,fabric,17,1,1,13
38,168,178.44,ecru,661.0,topshop,14,0.0,relaxed fit,1,hoodies & sweatshirts,women,5,24,fabric,17,1,1,13
39,174,160.07,purple,161.0,adidas,32,0.0,relaxed fit,1,hoodies & sweatshirts,women,14,1,fabric,17,1,1,13
40,177,220.42,blue,279.0,the north face,30,0.0,relaxed fit,1,hoodies & sweatshirts,women,2,22,borg,17,1,1,0
41,178,94.47,green,170.0,urban revivo,54,0.0,relaxed fit,1,hoodies & sweatshirts,women,6,26,fabric,17,1,1,2
42,188,157.44,black,298.0,adidas originals,40,0.0,relaxed fit,1,hoodies & sweatshirts,women,1,2,fabric,17,1,1,13
43,191,291.27,brown,547.0,the north face,19,5.0,boxy fit,1,hoodies & sweatshirts,women,3,22,fabric,2,1,1,13
44,200,157.44,red,170.0,adidas,43,0.0,regular fit,1,hoodies & sweatshirts,women,15,1,fabric,14,1,1,13
45,201,267.65,pink,563.0,the north face,15,4.3,relaxed fit,1,hoodies & sweatshirts,women,13,22,fabric,17,1,1,13
46,202,146.95,grey,620.0,puma,19,3.0,regular fit ,1,hoodies & sweatshirts,women,7,19,fabric,15,1,1,13
47,204,139.6,khaki,940.0,asos design,30,3.4,oversized fit,1,hoodies & sweatshirts,women,8,5,fabric,12,1,1,13
48,216,141.7,black,372.0,adidas originals,39,4.0,relaxed fit,1,hoodies & sweatshirts,women,1,2,fabric,17,1,1,13
49,226,291.27,pink,363.0,the north face,19,0.0,regular fit,1,hoodies & sweatshirts,women,13,22,fabric,14,1,1,13
50,227,115.46,green,833.0,monki,18,5.0,relaxed fit,1,hoodies & sweatshirts,women,6,12,fabric,17,1,1,13
51,228,267.65,grey,285.0,napapijri,40,0.0,regular fit,1,hoodies & sweatshirts,women,7,14,fabric,14,1,1,13
52,231,204.68,purple,68.0,nike,39,0.0,unisex style,1,hoodies & sweatshirts,women,14,16,fleece,30,1,1,4
53,241,167.94,black,123.0,puma,19,4.5,relaxed fit,1,hoodies & sweatshirts,women,1,19,fabric,17,1,1,2
54,242,204.68,black,2000.0,adidas,34,4.6,relaxed fit ,1,hoodies & sweatshirts,women,1,1,fabric,18,1,1,13
55,249,199.43,red,168.0,adidas originals,39,0.0,regular fit,1,hoodies & sweatshirts,women,15,2,fabric,14,1,1,13
56,250,233.54,black,143.0,adidas originals,29,0.0,regular fit,1,hoodies & sweatshirts,women,1,2,fabric,14,1,1,13
57,253,230.92,black,275.0,vans,20,0.0,regular fit,1,hoodies & sweatshirts,women,1,27,fabric,14,1,1,13
58,258,291.27,black,557.0,dickies,19,0.0,regular fit,1,hoodies & sweatshirts,women,1,9,fabric,14,1,1,13
59,259,233.02,pink,140.0,the north face,39,0.0,regular fit,1,hoodies & sweatshirts,women,13,22,fleece,14,1,1,4
60,260,141.7,purple,436.0,topshop,24,0.0,oversized fit,1,hoodies & sweatshirts,women,14,24,fabric,12,1,1,13
61,262,267.65,black,135.0,napapijri,40,0.0,regular fit,1,hoodies & sweatshirts,women,1,14,fabric,14,1,1,13
62,263,136.45,beige,669.0,monki,18,0.0,regular fit,1,hoodies & sweatshirts,women,0,12,fabric,14,1,1,13
63,264,83.97,green,271.0,monki,23,0.0,relaxed fit,1,hoodies & sweatshirts,women,6,12,fabric,17,1,1,13
64,272,199.43,pink,309.0,the north face,44,0.0,regular fit,1,hoodies & sweatshirts,women,13,22,fabric,14,1,1,2
65,274,125.95,grey,224.0,puma,50,5.0,relaxed fit ,1,hoodies & sweatshirts,women,7,19,jersey,18,1,1,5
66,283,238.79,brown,365.0,adidas originals,30,0.0,relaxed fit,1,hoodies & sweatshirts,women,3,2,fabric,17,1,1,13
67,294,375.24,cream,130.0,the north face,24,0.0,regular fit,1,hoodies & sweatshirts,women,4,22,fabric,14,1,1,13
68,296,333.25,green,670.0,dickies,19,0.0,relaxed fit,1,hoodies & sweatshirts,women,6,9,fabric,17,1,1,13
69,302,220.42,green,241.0,adidas originals,30,0.0,relaxed fit,1,hoodies & sweatshirts,women,6,2,fabric,17,1,1,13
70,306,425.1,black,611.0,carhartt wip,14,0.0,boxy fit,1,hoodies & sweatshirts,women,1,7,fabric,2,1,1,13
71,308,209.92,black,976.0,weekday,14,0.0,regular fit,1,hoodies & sweatshirts,women,1,28,fabric,14,1,1,13
72,313,291.27,cream,384.0,dickies,19,0.0,regular fit,1,hoodies & sweatshirts,women,4,9,fabric,14,1,1,13
73,322,99.71,white,318.0,monki,29,0.0,regular fit,1,hoodies & sweatshirts,women,17,12,fabric,14,1,1,13
74,323,354.25,grey,374.0,napapijri,24,0.0,relaxed fit,1,hoodies & sweatshirts,women,7,14,fabric,17,1,1,13
75,329,136.45,beige,231.0,na-kd,18,0.0,regular fit,1,hoodies & sweatshirts,women,0,13,fabric,14,1,1,13
76,330,354.25,white,155.0,the north face,14,0.0,regular fit,1,hoodies & sweatshirts,women,17,22,fabric,14,1,1,13
77,332,102.34,brown,124.0,monki,39,0.0,regular fit,1,hoodies & sweatshirts,women,3,12,fabric,14,1,1,13
78,333,267.65,black,186.0,napapijri,40,0.0,boxy fit,1,hoodies & sweatshirts,women,1,14,fabric,2,1,1,13
79,334,118.08,beige,282.0,monki,29,0.0,regular fit,1,hoodies & sweatshirts,women,0,12,fabric,14,1,1,13
80,335,238.79,black,307.0,nike,29,2.3,regular fit,1,hoodies & sweatshirts,women,1,16,fabric,14,1,1,13
81,343,220.42,black,474.0,nike,39,0.0,relaxed fit,1,hoodies & sweatshirts,women,1,16,fabric,17,1,1,13
82,360,110.21,green,134.0,topshop,29,4.0,relaxed fit,1,hoodies & sweatshirts,women,6,24,fabric,17,1,1,2
83,371,188.93,grey,124.0,napapijri,40,0.0,regular fit,1,hoodies & sweatshirts,women,7,14,fabric,14,1,1,2
84,373,99.19,grey,239.0,monki,30,4.3,relaxed fit,1,hoodies & sweatshirts,women,7,12,fabric,17,1,1,13
85,374,72.16,purple,493.0,asos design,45,4.0,oversized fit,1,hoodies & sweatshirts,women,14,5,fabric,12,1,1,2
86,380,102.34,pink,229.0,asos design,39,3.7,designed to fit you from bump to baby,1,hoodies & sweatshirts,women,13,5,fabric,6,1,1,13
87,392,55.11,ecru,88.0,asos design,44,3.8,regular fit ,1,hoodies & sweatshirts,women,5,5,fabric,15,1,1,2
88,398,48.54,pink,68.0,topshop,59,4.6,relaxed fit ,1,hoodies & sweatshirts,women,13,24,fabric,18,1,1,13
89,404,123.33,blue,1000.0,hollister,18,0.0,regular fit,1,hoodies & sweatshirts,women,2,10,fabric,14,1,1,13
90,412,312.26,grey,274.0,the north face,19,0.0,regular fit,1,hoodies & sweatshirts,women,7,22,fabric,14,1,1,13
91,415,173.19,black,148.0,vans,43,0.0,regular fit,1,hoodies & sweatshirts,women,1,27,fabric,14,1,1,13
92,418,251.91,green,2000.0,the north face,20,0.0,relaxed fit,1,hoodies & sweatshirts,women,6,22,fabric,17,1,1,13
93,419,265.03,pink,57.0,the north face,19,0.0,regular fit,1,hoodies & sweatshirts,women,13,22,fleece,14,1,1,4
94,420,265.03,blue,141.0,the north face,19,0.0,relaxed fit,1,hoodies & sweatshirts,women,2,22,fabric,17,1,1,13
95,421,312.26,orange,58.0,the north face,19,0.0,regular fit,1,hoodies & sweatshirts,women,12,22,fabric,14,1,1,13
96,422,251.91,cream,353.0,dickies,20,0.0,relaxed fit,1,hoodies & sweatshirts,women,4,9,fabric,17,1,1,13
97,432,136.45,pink,76.0,vans,50,3.7,relaxed fit ,1,hoodies & sweatshirts,women,13,27,fabric,18,1,1,13
98,438,146.95,multi,258.0,asos 4505,19,0.0,relaxed fit ,1,hoodies & sweatshirts,women,10,3,fabric,18,1,1,13
99,445,173.19,black,126.0,under armour,40,4.0,relaxed fit,1,hoodies & sweatshirts,women,1,25,fabric,17,1,1,2
100,447,93.15,stone,113.0,topshop,44,0.0,relaxed fit ,1,hoodies & sweatshirts,women,16,24,fabric,18,1,1,2
101,451,80.03,multi,227.0,topshop,59,3.8,relaxed fit,1,hoodies & sweatshirts,women,10,24,fabric,17,1,1,13
102,454,97.61,black,279.0,hollister,40,3.5,relaxed fit,1,hoodies & sweatshirts,women,1,10,fabric,17,1,1,2
103,465,62.98,orange,52.0,monki,59,4.5,true to size,1,hoodies & sweatshirts,women,12,12,fabric,28,1,1,13
104,473,165.32,pink,97.0,under armour,29,0.0,relaxed fit,1,hoodies & sweatshirts,women,13,25,fabric,17,1,1,13
105,480,230.92,black,2000.0,adidas,20,5.0,regular fit,1,hoodies & sweatshirts,women,1,1,fleece,14,1,1,4
106,481,146.95,grey,1000.0,hollister,19,0.0,regular fit,1,hoodies & sweatshirts,women,7,10,fabric,14,1,1,13
107,493,183.68,blue,272.0,the north face,30,4.1,regular fit,1,hoodies & sweatshirts,women,2,22,fabric,14,1,1,13
108,494,183.68,blue,441.0,adidas,30,4.9,relaxed fit ,1,hoodies & sweatshirts,women,2,1,fabric,18,1,1,13
109,501,47.23,black,435.0,asos design,43,4.0,designed to fit you from bump to baby,1,hoodies & sweatshirts,women,1,5,fabric,6,1,1,2
110,506,52.48,black,88.0,topshop,68,5.0,relaxed fit ,1,hoodies & sweatshirts,women,1,24,fabric,18,1,1,13
111,507,91.84,cream,103.0,hollister,39,4.4,relaxed fit,1,hoodies & sweatshirts,women,4,10,stretch,17,1,1,8
112,508,244.04,black,686.0,the north face,19,0.0,regular fit,1,hoodies & sweatshirts,women,1,22,fleece,14,1,1,4
113,512,123.33,grey,785.0,weekday,18,0.0,regular fit,1,hoodies & sweatshirts,women,7,28,fabric,14,1,1,13
114,513,56.68,white,509.0,asos design,54,3.3,boxy fit,1,hoodies & sweatshirts,women,17,5,fabric,2,1,1,13
115,520,173.19,green,162.0,adidas,40,4.8,relaxed fit,1,hoodies & sweatshirts,women,6,1,fabric,17,1,1,13
116,523,188.93,white,173.0,adidas,40,4.3,relaxed fit,1,hoodies & sweatshirts,women,17,1,fabric,17,1,1,13
117,524,272.9,purple,448.0,the north face,49,4.4,relaxed fit,1,hoodies & sweatshirts,women,14,22,fabric,17,1,1,2
118,525,157.44,black,492.0,under armour,40,5.0,regular fit,1,hoodies & sweatshirts,women,1,25,fabric,14,1,1,2
119,527,178.44,black,2000.0,weekday,19,0.0,relaxed fit,1,hoodies & sweatshirts,women,1,28,fabric,17,1,1,13
120,528,118.08,black,717.0,asos design,19,4.0,relaxed fit,1,hoodies & sweatshirts,women,1,5,fabric,17,1,1,13
121,533,157.44,black,2000.0,asos design,18,3.1,relaxed fit,1,hoodies & sweatshirts,women,1,5,fabric,17,1,1,13
122,535,188.93,pink,174.0,adidas,19,4.8,designed to fit you from bump to baby,1,hoodies & sweatshirts,women,13,1,fabric,6,1,1,13
123,536,204.68,black,79.0,vans,39,0.0,regular fit ,1,hoodies & sweatshirts,women,1,27,fabric,15,1,1,13
124,538,124.9,black,275.0,adidas,50,4.3,oversized fit,1,hoodies & sweatshirts,women,1,1,fleece,12,1,1,4
125,539,78.72,multi,585.0,collusion,39,4.6,slim fit,1,hoodies & sweatshirts,women,10,8,fabric,23,1,1,13
126,540,86.59,pink,511.0,topshop,50,1.7,relaxed fit,1,hoodies & sweatshirts,women,13,24,teddy,17,1,1,9
127,541,128.58,black,654.0,na-kd,29,3.9,regular fit,1,hoodies & sweatshirts,women,1,13,fabric,14,1,1,13
128,543,110.21,stone,396.0,topshop,44,3.9,relaxed fit,1,hoodies & sweatshirts,women,16,24,fabric,17,1,1,13
129,547,265.03,grey,742.0,the north face,19,0.0,regular fit,1,hoodies & sweatshirts,women,7,22,fleece,14,1,1,4
130,548,188.93,black,2000.0,monki,14,0.0,regular fit,1,hoodies & sweatshirts,women,1,12,fabric,14,1,1,13
131,549,265.03,black,929.0,adidas originals,19,4.5,oversized fit,1,hoodies & sweatshirts,women,1,2,fabric,12,1,1,13
132,550,188.93,blue,2000.0,asos 4505,14,0.0,regular fit,1,hoodies & sweatshirts,women,2,3,fabric,14,1,1,2
133,552,173.19,black,232.0,vans,40,0.0,regular fit,1,hoodies & sweatshirts,women,1,27,fabric,14,1,1,13
134,553,57.73,black,270.0,monki,59,4.2,regular fit,1,hoodies & sweatshirts,women,1,12,fabric,14,1,1,13
135,555,144.32,cream,1000.0,asos design,19,2.8,relaxed fit,1,hoodies & sweatshirts,women,4,5,fabric,17,1,1,2
