price,color,likes,brand,material type,Percentage discount,Rate,Fit,Saling fast,in sale,category,sex
Now 236.01 ILS,RED,363,,"Fleece: soft, cosy and insulating

Main: 100% Cotton.",(-40%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 270.28 ILS,BLACK,1K,,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-29%),4.3,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 165.32 ILS,BLACK,132,,,(-29%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 238.79 ILS,BLACK,390,,,(-29%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 217.80 ILS,BLUE,712,,"Sweatshirt fabric: soft and warm

Main: 80% Cotton, 20% Polyester, Rib: 97% Cotton, 3% Elastane.",(-24%),4.5,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 144.17 ILS,LIGHT GREEN,156,Nike,"Sweatshirt fabric: soft and warm

Main: 80% Cotton, 20% Polyester.",(-50%),5.0,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 158.60 ILS,BROWN,910,Nike,"Sweatshirt fabric: cosy fleece finish on reverse

Main: 80% Cotton, 20% Polyester.",(-45%),,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 293.89 ILS,,,,,,,,,1,Hoodies & Sweatshirts,Women
Now 293.89 ILS,,,,,,,,,1,Hoodies & Sweatshirts,Women
Now 375.24 ILS,Black,134,Tommy Jeans,"Sweatshirt fabric: soft and warm

Main: 65% Cotton, 35% Polyester.",(-24%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 293.89 ILS,,,,,,,,,1,Hoodies & Sweatshirts,Women
Now 217.80 ILS,GREEN,952,,,(-24%),,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 125.95 ILS,PINK,79,,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-49%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 293.89 ILS,RED,247,,"Fleece: soft, cosy and insulating

Main: 100% Cotton.",(-29%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 293.89 ILS,,,,,,,,,1,Hoodies & Sweatshirts,Women
Now 293.89 ILS,,,,,,,,,1,Hoodies & Sweatshirts,Women
Now 270.28 ILS,BROWN,547,,,(-29%),,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 288.65 ILS,GREY,498,,"Sweatshirt fabric: soft and warm

Main: 80% Cotton, 20% Polyester.",(-24%),,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 275.53 ILS,GREY,473,,,(-24%),,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 236.16 ILS,GREEN,86,,,(-39%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 144.32 ILS,ORANGE,229,,,(-49%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 251.91 ILS,BLUE,985,,,(-19%),,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 251.91 ILS,BROWN,1K,,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-19%),4.8,Oversized fit,,1,Hoodies & Sweatshirts,Women
,,,,,0,,,,0,Hoodies & Sweatshirts,Women
Now 238.79 ILS,GREY,442,,,(-29%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 257.16 ILS,BROWN,469,,,(-24%),5.0,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 230.92 ILS,BLUE,355,,,(-39%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 196.80 ILS,BLACK,216,Under Armour,"Sweatshirt fabric: soft and warm

Main: 80% Cotton, 20% Polyester.",(-29%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 257.16 ILS,GREY,325,,,(-24%),,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 238.79 ILS,WHITE,669,Nike,"Sweatshirt fabric: soft and warm

Main: 80% Cotton, 20% Polyester.",(-29%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 283.40 ILS,EGGSHELL,435,Calvin Klein,,(-39%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 229.71 ILS,,,,,,,,,1,Hoodies & Sweatshirts,Women
Now 228.29 ILS,OATMEAL,53,Madewell,"Sweatshirt fabric
Soft hand feel

Main: 100% Cotton.",(-39%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 377.86 ILS,Ck Black,,Calvin Klein Jeans,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-20%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 461.83 ILS,Ivory,,,,(-20%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 272.90 ILS,STONE,887,Nike,"Sweatshirt fabric: soft and warm

Main: 80% Cotton, 20% Polyester.",(-19%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 314.89 ILS,BLACK,640,Nike,,(-24%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 314.89 ILS,STONE,823,Nike,"Sweatshirt fabric: soft and warm

Main: 80% Cotton, 20% Polyester.",(-24%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 202.05 ILS,BROWN,693,Nike,"Sweatshirt fabric: cosy fleece finish on reverse

Main: 80% Cotton, 20% Polyester.",(-29%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 257.16 ILS,STONE,546,Nike,"Sweatshirt fabric: soft and warm

Main: 80% Cotton, 20% Polyester.",(-29%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 293.89 ILS,,,,,,,,,1,Hoodies & Sweatshirts,Women
Now 68.23 ILS,Grey,,PUMA,"Sweatshirt fabric
Soft hand feel 

Cuff: 96% Cotton, 4% Elastane, Main: 68% Cotton, 32% Polyester, Trim: 100% Cotton.",(-69%),4.3,Regular fit,SELLING FAST,1,Hoodies & Sweatshirts,Women
Now 170.56 ILS,Grey,,New Balance,"Sweatshirt fabric: soft and warm

Main: 65% Cotton, 35% Polyester.",(-35%),2.0,Unisex style,SELLING FAST,1,Hoodies & Sweatshirts,Women
Now 188.93 ILS,BLACK,5K,,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-14%),3.6,Unisex style,,1,Hoodies & Sweatshirts,Women
Now 214.91 ILS,NAVY,794,,"Sweatshirt fabric: soft and warm

Main: 100% Polyester.",(-34%),4.7,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 178.44 ILS,black,7K,Topshop,"Sweatshirt fabric: soft and warm

Main: 56% Polyester, 44% Cotton.",(-19%),,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 89.22 ILS,BLACK,2K,COLLUSION,Main: 100% Cotton.,(-19%),4.7,Unisex style,,1,Hoodies & Sweatshirts,Women
